timestamp,person_A,person_B,group_A,group_B,time_seconds,time_minutes,time_hours
28840,574,1362,DMI,DST,576800,9613.333333333334,160.22222222222223
28840,164,779,SSI,DST,576800,9613.333333333334,160.22222222222223
28860,447,763,DMI,DMI,577200,9620.0,160.33333333333334
28860,117,429,SFLE,DST,577200,9620.0,160.33333333333334
28880,447,763,DMI,DMI,577600,9626.666666666666,160.44444444444446
28900,215,1414,DST,SFLE,578000,9633.333333333334,160.55555555555554
28900,97,1204,DCAR,DCAR,578000,9633.333333333334,160.55555555555554
28900,461,1245,SFLE,DST,578000,9633.333333333334,160.55555555555554
28900,20,1209,DCAR,DCAR,578000,9633.333333333334,160.55555555555554
28900,15,20,DMI,DCAR,578000,9633.333333333334,160.55555555555554
28920,20,985,DCAR,SSI,578400,9640.0,160.66666666666666
28920,200,1323,SFLE,DST,578400,9640.0,160.66666666666666
28920,447,763,DMI,DMI,578400,9640.0,160.66666666666666
28920,215,491,DST,DMI,578400,9640.0,160.66666666666666
28920,20,649,DCAR,DST,578400,9640.0,160.66666666666666
28920,425,447,DMI,DMI,578400,9640.0,160.66666666666666
28920,215,242,DST,DMI,578400,9640.0,160.66666666666666
28920,720,1090,DCAR,DMI,578400,9640.0,160.66666666666666
28940,117,147,SFLE,DST,578800,9646.666666666666,160.77777777777777
28940,200,440,SFLE,SDOC,578800,9646.666666666666,160.77777777777777
28940,372,461,DMI,SFLE,578800,9646.666666666666,160.77777777777777
28940,20,77,DCAR,DST,578800,9646.666666666666,160.77777777777777
28980,295,447,DMI,DMI,579600,9660.0,161.0
28980,27,763,DST,DMI,579600,9660.0,161.0
28980,160,425,DMI,DMI,579600,9660.0,161.0
29000,447,763,DMI,DMI,580000,9666.666666666666,161.11111111111111
29000,215,1414,DST,SFLE,580000,9666.666666666666,161.11111111111111
29000,20,74,DCAR,DMI,580000,9666.666666666666,161.11111111111111
29020,122,649,DMCT,DST,580400,9673.333333333334,161.22222222222223
29020,447,763,DMI,DMI,580400,9673.333333333334,161.22222222222223
29020,649,977,DST,SFLE,580400,9673.333333333334,161.22222222222223
29040,77,649,DST,DST,580800,9680.0,161.33333333333334
29040,97,429,DCAR,DST,580800,9680.0,161.33333333333334
29080,74,434,DMI,DMI,581600,9693.333333333334,161.55555555555554
29080,215,1414,DST,SFLE,581600,9693.333333333334,161.55555555555554
29100,242,461,DMI,SFLE,582000,9700.0,161.66666666666666
29100,372,461,DMI,SFLE,582000,9700.0,161.66666666666666
29100,426,741,DST,DCAR,582000,9700.0,161.66666666666666
29100,215,985,DST,SSI,582000,9700.0,161.66666666666666
29120,447,763,DMI,DMI,582400,9706.666666666666,161.77777777777777
29120,290,1492,DG,DCAR,582400,9706.666666666666,161.77777777777777
29120,290,1204,DG,DCAR,582400,9706.666666666666,161.77777777777777
29140,425,447,DMI,DMI,582800,9713.333333333334,161.88888888888889
29140,97,147,DCAR,DST,582800,9713.333333333334,161.88888888888889
29140,15,429,DMI,DST,582800,9713.333333333334,161.88888888888889
29160,200,461,SFLE,SFLE,583200,9720.0,162.0
29180,89,200,DCAR,SFLE,583600,9726.666666666666,162.11111111111111
29200,372,977,DMI,SFLE,584000,9733.333333333334,162.22222222222223
29200,77,387,DST,DST,584000,9733.333333333334,162.22222222222223
29220,20,1204,DCAR,DCAR,584400,9740.0,162.33333333333334
29240,574,1362,DMI,DST,584800,9746.666666666666,162.44444444444446
29240,574,977,DMI,SFLE,584800,9746.666666666666,162.44444444444446
29240,20,491,DCAR,DMI,584800,9746.666666666666,162.44444444444446
29260,220,432,DCAR,SFLE,585200,9753.333333333334,162.55555555555554
29260,122,649,DMCT,DST,585200,9753.333333333334,162.55555555555554
29260,220,434,DCAR,DMI,585200,9753.333333333334,162.55555555555554
29260,447,763,DMI,DMI,585200,9753.333333333334,162.55555555555554
29260,77,779,DST,DST,585200,9753.333333333334,162.55555555555554
29260,220,378,DCAR,DCAR,585200,9753.333333333334,162.55555555555554
29260,55,434,SSI,DMI,585200,9753.333333333334,162.55555555555554
29260,426,649,DST,DST,585200,9753.333333333334,162.55555555555554
29260,220,779,DCAR,DST,585200,9753.333333333334,162.55555555555554
29320,117,147,SFLE,DST,586400,9773.333333333334,162.88888888888889
29320,89,461,DCAR,SFLE,586400,9773.333333333334,162.88888888888889
29380,122,779,DMCT,DST,587600,9793.333333333334,163.22222222222223
29400,859,1245,DMI,DST,588000,9800.0,163.33333333333334
29400,117,429,SFLE,DST,588000,9800.0,163.33333333333334
29400,200,1245,SFLE,DST,588000,9800.0,163.33333333333334
29420,117,147,SFLE,DST,588400,9806.666666666666,163.44444444444446
29420,74,1209,DMI,DCAR,588400,9806.666666666666,163.44444444444446
29420,447,763,DMI,DMI,588400,9806.666666666666,163.44444444444446
29420,147,200,DST,SFLE,588400,9806.666666666666,163.44444444444446
29420,200,574,SFLE,DMI,588400,9806.666666666666,163.44444444444446
29420,71,859,DST,DMI,588400,9806.666666666666,163.44444444444446
29440,574,1362,DMI,DST,588800,9813.333333333334,163.55555555555554
29440,20,985,DCAR,SSI,588800,9813.333333333334,163.55555555555554
29460,200,1245,SFLE,DST,589200,9820.0,163.66666666666666
29460,74,1492,DMI,DCAR,589200,9820.0,163.66666666666666
29460,491,1414,DMI,SFLE,589200,9820.0,163.66666666666666
29480,372,977,DMI,SFLE,589600,9826.666666666666,163.77777777777777
29480,74,77,DMI,DST,589600,9826.666666666666,163.77777777777777
29480,20,1245,DCAR,DST,589600,9826.666666666666,163.77777777777777
29500,20,1209,DCAR,DCAR,590000,9833.333333333334,163.88888888888889
29540,649,985,DST,SSI,590800,9846.666666666666,164.11111111111111
29580,429,441,DST,SCOM,591600,9860.0,164.33333333333334
29580,1323,1414,DST,SFLE,591600,9860.0,164.33333333333334
29580,447,763,DMI,DMI,591600,9860.0,164.33333333333334
29580,97,1414,DCAR,SFLE,591600,9860.0,164.33333333333334
29620,242,1362,DMI,DST,592400,9873.333333333334,164.55555555555554
